ID	Length	Adenine	Cytosine	Guanine	Thymine	N	GCcontent	Errors
180|*|c37315_g1_i3	5333	16.3697731108194	31.9707481717607	32.5895368460529	19.069941871367	0	64.5602850178136	0
181|*|c37605_g1_i2	5325	17.2769953051643	31.6995305164319	31.7183098591549	19.3051643192488	0	63.4178403755869	0
182|*|c37313_g1_i2	5286	18.0855088914113	29.3605751040484	33.427922814983	19.1259931895573	0	62.7884979190314	0
183|*|c37662_g1_i6	5280	19.1287878787879	31.2878787878788	29.6401515151515	19.9431818181818	0	60.9280303030303	0
184|*|c37632_g1_i2	5277	18.6090581769945	30.5287094940307	30.490809171878	20.3714231570968	0	61.0195186659087	0
185|*|c37546_g1_i6	5277	16.0507864316847	29.9602046617396	33.3522834944097	20.636725412166	0	63.3124881561493	0
186|*|c37626_g3_i2	5272	19.0060698027314	30.9370257966616	33.0804248861912	16.9764795144158	0	64.0174506828528	0
187|*|c37597_g1_i2	5271	14.911781445646	30.4496300512237	33.7127679757162	20.9258205274142	0	64.1623980269399	0
188|*|c37689_g1_i4	5258	20.2168124762267	28.4328642069228	28.4899201217193	22.8604031951312	0	56.9227843286421	0
189|*|c36809_g1_i1	5251	20.4913349838126	32.4509617215768	29.6514949533422	17.4062083412683	0	62.1024566749191	0
190|*|c37578_g8_i3	5245	18.8751191611058	29.3422306959009	29.9904671115348	21.7921830314585	0	59.3326978074357	0
191|*|c37559_g1_i1	5217	20.8932336591911	32.3557600153345	27.9854322407514	18.765574084723	0	60.3411922560859	0
192|*|c37572_g3_i2	5211	15.9470351180196	32.2778737286509	32.4697754749568	19.3053156783727	0	64.7476492036078	0
193|*|c37660_g6_i10	5188	19.8727833461835	29.9344641480339	30.3006939090208	19.8920585967618	0	60.2351580570547	0
194|*|c37640_g5_i6	5175	16.4830917874396	28.9275362318841	34.6859903381643	19.9033816425121	0	63.6135265700483	0
195|*|c36748_g1_i2	5172	19.7215777262181	32.7919566898685	30.5877803557618	16.8986852281516	0	63.3797370456303	0
196|*|c37664_g4_i1	5152	20.9821428571429	31.3858695652174	31.055900621118	16.5760869565217	0	62.4417701863354	0
197|*|c37139_g1_i1	5135	19.2405063291139	28.3154819863681	30.3213242453749	22.1226874391431	0	58.6368062317429	0
198|*|c37636_g5_i1	5122	16.9855525185474	29.2463881296369	32.7606403748536	21.0074189769621	0	62.0070285044904	0
199|*|c37301_g1_i1	5093	18.3192617317887	30.080502650697	32.0832515216964	19.5169840958178	0	62.1637541723935	0
200|*|c37071_g1_i2	5087	20.7391389817181	22.8032239040692	27.226263023393	29.2313740908197	0	50.0294869274622	0
201|*|c37454_g1_i3	5076	20.5476753349094	31.1859732072498	29.866036249015	18.4003152088258	0	61.0520094562648	0
202|*|c36657_g1_i1	5074	22.8616476152937	24.9704375246354	25.9755616870319	26.192353173039	0	50.9459992116673	0
203|*|c37577_g2_i1	5061	15.9257063821379	30.3892511361391	33.3728512151749	20.3121912665481	0	63.762102351314	0
204|*|c36235_g1_i2	5060	21.0671936758893	30.1581027667984	28.6561264822134	20.1185770750988	0	58.8142292490119	0
205|*|c37595_g2_i5	5048	16.3431061806656	29.5364500792393	34.0332805071315	20.0871632329636	0	63.5697305863708	0
206|*|c37675_g2_i1	5043	17.8663493952013	31.9254412056316	29.050168550466	21.1580408487012	0	60.9756097560976	0
207|*|c37359_g8_i1	5041	20.4324538781988	31.9579448522119	29.6568141241817	17.9527871454077	0	61.6147589763936	0
208|*|c37413_g1_i4	5026	17.4492638280939	28.7902904894548	33.267011539992	20.4934341424592	0	62.0573020294469	0
209|*|c37317_g4_i2	5016	18.6602870813397	30.8811802232855	31.1204146730463	19.3381180223285	0	62.0015948963317	0
210|*|c37521_g1_i1	5015	17.6271186440678	31.9042871385842	31.9840478564307	18.4845463609172	0	63.888334995015	0
211|*|c37519_g5_i2	5000	14.92	29.62	34.8	20.66	0	64.42	0
212|*|c37036_g1_i1	4979	21.3094998995782	32.1751355693914	26.993372163085	19.5219923679454	0	59.1685077324764	0
213|*|c37597_g5_i1	4970	17.6458752515091	30.2213279678068	32.897384305835	19.2354124748491	0	63.1187122736419	0
214|*|c37272_g1_i2	4958	19.5240016135538	29.4070189592578	32.250907624042	18.8180718031464	0	61.6579265832997	0
215|*|c37533_g2_i1	4953	19.7456087219867	26.3476680799515	31.0115081768625	22.8952150211993	0	57.359176256814	0
